01/03/2016 07:05 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2016 7:05
01/03/2016 07:08 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/03/2016 7:08
01/03/2016 07:12 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2016 7:12
01/03/2016 07:16 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2016 7:16
01/03/2016 07:17 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/03/2016 7:17
01/03/2016 07:24 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2016 7:24
01/03/2016 07:26 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/03/2016 7:26
01/03/2016 07:35 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2016 7:35
01/03/2016 07:38 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2016 7:38
01/03/2016 07:38 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2016 7:38
01/03/2016 07:41 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/03/2016 7:41
01/03/2016 07:50 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/03/2016 7:50
01/03/2016 07:56 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2016 7:56
01/03/2016 08:07 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 01/03/2016 8:07
01/03/2016 08:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2016 8:08
01/03/2016 08:14 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/03/2016 8:14
01/03/2016 08:25 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/03/2016 8:25
01/03/2016 08:26 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/03/2016 8:26
01/03/2016 08:33 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 01/03/2016 8:33
01/03/2016 08:34 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/03/2016 8:34
01/03/2016 08:35 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 01/03/2016 8:35
01/03/2016 08:45 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/03/2016 8:45
01/03/2016 08:53 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2016 8:53
01/03/2016 09:01 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/03/2016 9:01
01/03/2016 09:11 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2016 9:11
01/03/2016 09:15 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/03/2016 9:15
01/03/2016 09:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2016 9:19
01/03/2016 09:19 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/03/2016 9:19
01/03/2016 09:27 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 01/03/2016 9:27
01/03/2016 09:33 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/03/2016 9:33
01/03/2016 10:00 - FERNANDO | ID_USUARIO = 10842 | DATA_LOGIN = 01/03/2016 10:00
01/03/2016 10:34 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2016 10:34
01/03/2016 10:37 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2016 10:37
01/03/2016 10:45 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 01/03/2016 10:45
01/03/2016 10:47 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/03/2016 10:47
01/03/2016 10:58 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/03/2016 10:58
01/03/2016 10:58 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/03/2016 10:58
01/03/2016 11:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2016 11:00
01/03/2016 11:03 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/03/2016 11:03
01/03/2016 11:06 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 01/03/2016 11:06
01/03/2016 11:08 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/03/2016 11:08
01/03/2016 11:11 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 01/03/2016 11:11
01/03/2016 11:20 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 01/03/2016 11:20
01/03/2016 11:20 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 01/03/2016 11:20
01/03/2016 11:21 - CLESLEILUCAS | ID_USUARIO = 11217 | DATA_LOGIN = 01/03/2016 11:21
01/03/2016 11:28 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/03/2016 11:28
01/03/2016 11:48 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/03/2016 11:48
01/03/2016 11:55 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 01/03/2016 11:55
01/03/2016 11:56 - EDSON_LO | ID_USUARIO = 10992 | DATA_LOGIN = 01/03/2016 11:56
01/03/2016 11:57 - EDSON_LO | ID_USUARIO = 10992 | DATA_LOGIN = 01/03/2016 11:57
01/03/2016 12:04 - CLESLEILUCAS | ID_USUARIO = 11217 | DATA_LOGIN = 01/03/2016 12:04
01/03/2016 12:04 - CLESLEILUCAS | ID_USUARIO = 11217 | DATA_LOGIN = 01/03/2016 12:04
01/03/2016 12:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2016 12:09
01/03/2016 12:26 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/03/2016 12:26
01/03/2016 12:58 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/03/2016 12:58
01/03/2016 13:12 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/03/2016 13:12
01/03/2016 13:25 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/03/2016 13:25
01/03/2016 13:25 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2016 13:25
01/03/2016 13:41 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2016 13:41
01/03/2016 13:43 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/03/2016 13:43
01/03/2016 13:44 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2016 13:44
01/03/2016 14:05 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2016 14:05
