01/04/2016 07:21 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/04/2016 7:21
01/04/2016 07:22 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2016 7:22
01/04/2016 07:26 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/04/2016 7:26
01/04/2016 07:27 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/04/2016 7:27
01/04/2016 08:13 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/04/2016 8:13
01/04/2016 08:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2016 8:13
01/04/2016 08:32 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/04/2016 8:32
01/04/2016 08:37 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/04/2016 8:37
01/04/2016 08:38 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/04/2016 8:38
01/04/2016 08:47 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 01/04/2016 8:47
01/04/2016 08:47 - OSNY | ID_USUARIO = 10826 | DATA_LOGIN = 01/04/2016 8:47
01/04/2016 08:47 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/04/2016 8:47
01/04/2016 08:56 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2016 8:56
01/04/2016 08:56 - MONICA | ID_USUARIO = 10876 | DATA_LOGIN = 01/04/2016 8:56
01/04/2016 09:53 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2016 9:53
01/04/2016 10:15 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2016 10:15
01/04/2016 11:01 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 01/04/2016 11:01
01/04/2016 11:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2016 11:08
01/04/2016 11:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2016 11:10
01/04/2016 11:33 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2016 11:33
01/04/2016 11:54 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/04/2016 11:54
01/04/2016 11:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2016 11:57
01/04/2016 13:00 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2016 13:00
01/04/2016 13:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2016 13:14
01/04/2016 13:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2016 13:24
01/04/2016 13:25 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/04/2016 13:25
01/04/2016 13:29 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/04/2016 13:29
01/04/2016 13:39 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/04/2016 13:39
01/04/2016 13:44 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/04/2016 13:44
01/04/2016 13:45 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/04/2016 13:45
01/04/2016 14:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/04/2016 14:01
01/04/2016 14:08 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 01/04/2016 14:08
01/04/2016 14:11 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2016 14:11
01/04/2016 14:13 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/04/2016 14:13
01/04/2016 14:21 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/04/2016 14:21
01/04/2016 14:23 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2016 14:23
01/04/2016 14:38 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/04/2016 14:38
01/04/2016 14:59 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2016 14:59
01/04/2016 15:12 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/04/2016 15:12
01/04/2016 15:19 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/04/2016 15:19
01/04/2016 15:22 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/04/2016 15:22
01/04/2016 15:22 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/04/2016 15:22
01/04/2016 15:22 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/04/2016 15:22
01/04/2016 15:30 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/04/2016 15:30
01/04/2016 15:44 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/04/2016 15:44
01/04/2016 15:48 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/04/2016 15:48
01/04/2016 15:50 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/04/2016 15:50
01/04/2016 15:54 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/04/2016 15:54
01/04/2016 15:58 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/04/2016 15:58
01/04/2016 15:59 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 01/04/2016 15:59
01/04/2016 16:02 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2016 16:02
01/04/2016 16:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2016 16:16
01/04/2016 16:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2016 16:21
01/04/2016 16:22 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/04/2016 16:22
01/04/2016 16:52 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 01/04/2016 16:52
01/04/2016 16:59 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/04/2016 16:59
01/04/2016 17:02 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/04/2016 17:02
01/04/2016 17:04 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 01/04/2016 17:04
02/04/2016 07:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 7:21
02/04/2016 07:31 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/04/2016 7:31
02/04/2016 07:47 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 7:47
02/04/2016 07:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 7:57
02/04/2016 08:46 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2016 8:46
02/04/2016 09:01 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 02/04/2016 9:01
02/04/2016 09:02 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 02/04/2016 9:02
02/04/2016 09:11 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/04/2016 9:11
02/04/2016 09:11 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/04/2016 9:11
02/04/2016 09:26 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 9:26
02/04/2016 12:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 12:11
02/04/2016 12:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 12:18
02/04/2016 12:51 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2016 12:51
02/04/2016 13:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 13:04
02/04/2016 13:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 13:23
02/04/2016 14:22 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2016 14:22
02/04/2016 14:24 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/04/2016 14:24
02/04/2016 23:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/04/2016 23:41
04/04/2016 03:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/04/2016 3:27
04/04/2016 03:37 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/04/2016 3:37
04/04/2016 07:21 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/04/2016 7:21
04/04/2016 07:22 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/04/2016 7:22
04/04/2016 07:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 7:26
04/04/2016 07:42 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/04/2016 7:42
04/04/2016 07:49 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 04/04/2016 7:49
04/04/2016 08:01 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/04/2016 8:01
04/04/2016 08:28 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 04/04/2016 8:28
04/04/2016 08:30 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/04/2016 8:30
04/04/2016 08:40 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 8:40
04/04/2016 08:48 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/04/2016 8:48
04/04/2016 08:53 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/04/2016 8:53
04/04/2016 08:59 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/04/2016 8:59
04/04/2016 09:06 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/04/2016 9:06
04/04/2016 09:09 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 9:09
04/04/2016 09:10 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 9:10
04/04/2016 09:15 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 9:15
04/04/2016 09:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/04/2016 9:24
04/04/2016 09:38 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 9:38
04/04/2016 10:06 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/04/2016 10:06
04/04/2016 10:09 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 04/04/2016 10:09
04/04/2016 10:12 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 04/04/2016 10:12
04/04/2016 10:17 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 04/04/2016 10:17
04/04/2016 10:17 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 10:17
04/04/2016 10:19 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 04/04/2016 10:19
04/04/2016 10:38 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/04/2016 10:38
04/04/2016 10:40 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/04/2016 10:40
04/04/2016 10:45 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 04/04/2016 10:45
04/04/2016 10:46 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 04/04/2016 10:46
04/04/2016 10:57 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/04/2016 10:57
04/04/2016 10:59 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/04/2016 10:59
04/04/2016 11:08 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 04/04/2016 11:08
04/04/2016 11:22 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 04/04/2016 11:22
04/04/2016 11:31 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/04/2016 11:31
04/04/2016 12:07 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 04/04/2016 12:07
04/04/2016 12:50 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 04/04/2016 12:50
04/04/2016 13:06 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 04/04/2016 13:06
04/04/2016 13:17 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 04/04/2016 13:17
04/04/2016 13:32 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 04/04/2016 13:32
04/04/2016 13:35 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 04/04/2016 13:35
04/04/2016 13:39 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/04/2016 13:39
04/04/2016 13:46 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 04/04/2016 13:46
04/04/2016 14:10 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 04/04/2016 14:10
04/04/2016 14:12 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/04/2016 14:12
04/04/2016 14:21 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 04/04/2016 14:21
04/04/2016 14:34 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 04/04/2016 14:34
04/04/2016 14:45 - SUZANA | ID_USUARIO = 11114 | DATA_LOGIN = 04/04/2016 14:45
04/04/2016 14:47 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 04/04/2016 14:47
04/04/2016 14:47 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 14:47
04/04/2016 14:49 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/04/2016 14:49
04/04/2016 14:50 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 14:50
04/04/2016 14:53 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 04/04/2016 14:53
04/04/2016 14:59 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 04/04/2016 14:59
04/04/2016 15:07 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/04/2016 15:07
04/04/2016 15:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 04/04/2016 15:08
