01/05/2016 08:37 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 01/05/2016 8:37
02/05/2016 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 7:14
02/05/2016 07:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2016 7:14
02/05/2016 07:17 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/05/2016 7:17
02/05/2016 07:21 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2016 7:21
02/05/2016 07:22 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/05/2016 7:22
02/05/2016 07:32 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 02/05/2016 7:32
02/05/2016 07:32 - MATHEUSUZELOTTO | ID_USUARIO = 11309 | DATA_LOGIN = 02/05/2016 7:32
02/05/2016 07:34 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/05/2016 7:34
02/05/2016 07:40 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/05/2016 7:40
02/05/2016 07:47 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/05/2016 7:47
02/05/2016 07:48 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/05/2016 7:48
02/05/2016 07:51 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2016 7:51
02/05/2016 08:03 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/05/2016 8:03
02/05/2016 08:23 - HIGORGARCIA | ID_USUARIO = 11219 | DATA_LOGIN = 02/05/2016 8:23
02/05/2016 08:32 - JG | ID_USUARIO = 10849 | DATA_LOGIN = 02/05/2016 8:32
02/05/2016 08:51 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 02/05/2016 8:51
02/05/2016 09:01 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 02/05/2016 9:01
02/05/2016 09:02 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/05/2016 9:02
02/05/2016 09:06 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/05/2016 9:06
02/05/2016 09:10 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/05/2016 9:10
02/05/2016 09:15 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/05/2016 9:15
02/05/2016 09:22 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/05/2016 9:22
02/05/2016 09:31 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2016 9:31
02/05/2016 09:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2016 9:45
02/05/2016 09:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2016 9:45
02/05/2016 09:45 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2016 9:45
02/05/2016 09:54 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 9:54
02/05/2016 09:55 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/05/2016 9:55
02/05/2016 10:36 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/05/2016 10:36
02/05/2016 11:07 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/05/2016 11:07
02/05/2016 11:09 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/05/2016 11:09
02/05/2016 11:18 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2016 11:18
02/05/2016 11:23 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 02/05/2016 11:23
02/05/2016 11:26 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/05/2016 11:26
02/05/2016 11:32 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2016 11:32
02/05/2016 11:38 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 02/05/2016 11:38
02/05/2016 12:01 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 02/05/2016 12:01
02/05/2016 12:10 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 02/05/2016 12:10
02/05/2016 12:28 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 12:28
02/05/2016 12:58 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2016 12:58
02/05/2016 13:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2016 13:01
02/05/2016 13:02 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2016 13:02
02/05/2016 13:09 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 02/05/2016 13:09
02/05/2016 13:09 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2016 13:09
02/05/2016 13:15 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 02/05/2016 13:15
02/05/2016 13:22 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/05/2016 13:22
02/05/2016 13:28 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 02/05/2016 13:28
02/05/2016 13:34 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/05/2016 13:34
02/05/2016 13:35 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/05/2016 13:35
02/05/2016 14:02 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/05/2016 14:02
02/05/2016 14:04 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 02/05/2016 14:04
02/05/2016 14:14 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 02/05/2016 14:14
02/05/2016 14:18 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 02/05/2016 14:18
02/05/2016 14:23 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 14:23
02/05/2016 14:50 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 02/05/2016 14:50
02/05/2016 15:01 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 02/05/2016 15:01
02/05/2016 15:04 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 02/05/2016 15:04
02/05/2016 15:05 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/05/2016 15:05
02/05/2016 15:37 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 02/05/2016 15:37
02/05/2016 15:50 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 02/05/2016 15:50
02/05/2016 15:55 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2016 15:55
02/05/2016 16:06 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 02/05/2016 16:06
02/05/2016 16:07 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2016 16:07
02/05/2016 16:12 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/05/2016 16:12
02/05/2016 16:14 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/05/2016 16:14
02/05/2016 16:14 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/05/2016 16:14
02/05/2016 16:14 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 02/05/2016 16:14
02/05/2016 16:19 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 02/05/2016 16:19
02/05/2016 16:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 16:19
02/05/2016 16:30 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 16:30
02/05/2016 16:32 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 02/05/2016 16:32
02/05/2016 16:35 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 02/05/2016 16:35
02/05/2016 16:35 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 02/05/2016 16:35
02/05/2016 16:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2016 16:41
02/05/2016 16:44 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/05/2016 16:44
02/05/2016 16:54 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2016 16:54
02/05/2016 17:35 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 02/05/2016 17:35
02/05/2016 19:09 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 02/05/2016 19:09
02/05/2016 19:28 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/05/2016 19:28
02/05/2016 19:52 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/05/2016 19:52
03/05/2016 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 7:17
03/05/2016 07:19 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2016 7:19
03/05/2016 07:21 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/05/2016 7:21
03/05/2016 07:26 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/05/2016 7:26
03/05/2016 07:29 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/05/2016 7:29
03/05/2016 07:34 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/05/2016 7:34
03/05/2016 07:35 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/05/2016 7:35
03/05/2016 07:37 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/05/2016 7:37
03/05/2016 07:42 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 03/05/2016 7:42
03/05/2016 07:45 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 03/05/2016 7:45
03/05/2016 07:55 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/05/2016 7:55
03/05/2016 07:58 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/05/2016 7:58
03/05/2016 08:00 - EDENILSON | ID_USUARIO = 10976 | DATA_LOGIN = 03/05/2016 8:00
03/05/2016 08:14 - RBARBOSA | ID_USUARIO = 10970 | DATA_LOGIN = 03/05/2016 8:14
03/05/2016 08:27 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/05/2016 8:27
03/05/2016 08:33 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 8:33
03/05/2016 08:41 - ITDESK | ID_USUARIO = 11342 | DATA_LOGIN = 03/05/2016 8:41
03/05/2016 09:13 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/05/2016 9:13
03/05/2016 09:53 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/05/2016 9:53
03/05/2016 10:01 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/05/2016 10:01
03/05/2016 10:11 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/05/2016 10:11
03/05/2016 10:34 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 10:34
03/05/2016 10:34 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 03/05/2016 10:34
03/05/2016 10:43 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/05/2016 10:43
03/05/2016 11:50 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/05/2016 11:50
03/05/2016 11:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2016 11:58
03/05/2016 12:00 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/05/2016 12:00
03/05/2016 12:52 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 03/05/2016 12:52
03/05/2016 13:00 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/05/2016 13:00
03/05/2016 13:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2016 13:14
03/05/2016 13:15 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/05/2016 13:15
03/05/2016 13:17 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/05/2016 13:17
03/05/2016 13:19 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/05/2016 13:19
03/05/2016 13:20 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/05/2016 13:20
03/05/2016 13:24 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2016 13:24
03/05/2016 13:26 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 03/05/2016 13:26
03/05/2016 13:39 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/05/2016 13:39
03/05/2016 13:43 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/05/2016 13:43
03/05/2016 13:57 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/05/2016 13:57
03/05/2016 14:05 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 03/05/2016 14:05
03/05/2016 14:08 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/05/2016 14:08
03/05/2016 14:30 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2016 14:30
03/05/2016 14:32 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/05/2016 14:32
03/05/2016 14:41 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 14:41
03/05/2016 15:01 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/05/2016 15:01
03/05/2016 15:08 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 03/05/2016 15:08
03/05/2016 15:11 - DANILO | ID_USUARIO = 10923 | DATA_LOGIN = 03/05/2016 15:11
03/05/2016 15:25 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2016 15:25
03/05/2016 15:29 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 03/05/2016 15:29
03/05/2016 15:36 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 03/05/2016 15:36
03/05/2016 16:02 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 03/05/2016 16:02
03/05/2016 16:16 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 03/05/2016 16:16
03/05/2016 16:18 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/05/2016 16:18
03/05/2016 16:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 16:19
03/05/2016 16:23 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/05/2016 16:23
03/05/2016 16:42 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/05/2016 16:42
03/05/2016 16:45 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 03/05/2016 16:45
03/05/2016 16:46 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 03/05/2016 16:46
03/05/2016 16:46 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 16:46
03/05/2016 16:46 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/05/2016 16:46
03/05/2016 16:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2016 16:57
03/05/2016 17:24 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 03/05/2016 17:24
03/05/2016 17:37 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 03/05/2016 17:37
03/05/2016 18:30 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 03/05/2016 18:30
03/05/2016 18:37 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/05/2016 18:37
03/05/2016 22:41 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/05/2016 22:41
04/05/2016 07:11 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2016 7:11
04/05/2016 07:14 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 04/05/2016 7:14
04/05/2016 07:17 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 04/05/2016 7:17
04/05/2016 07:20 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 04/05/2016 7:20
