01/08/2016 07:04 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2016 7:04
01/08/2016 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2016 7:13
01/08/2016 07:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2016 7:14
01/08/2016 07:34 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2016 7:34
01/08/2016 07:37 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2016 7:37
01/08/2016 07:43 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2016 7:43
01/08/2016 07:54 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/08/2016 7:54
01/08/2016 08:12 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2016 8:12
01/08/2016 08:19 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/08/2016 8:19
01/08/2016 08:23 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2016 8:23
01/08/2016 08:24 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2016 8:24
01/08/2016 08:26 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/08/2016 8:26
01/08/2016 08:45 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 01/08/2016 8:45
01/08/2016 08:49 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/08/2016 8:49
01/08/2016 08:51 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 01/08/2016 8:51
01/08/2016 08:53 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2016 8:53
01/08/2016 08:54 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2016 8:54
01/08/2016 09:19 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/08/2016 9:19
01/08/2016 09:22 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/08/2016 9:22
01/08/2016 09:33 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2016 9:33
01/08/2016 09:34 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2016 9:34
01/08/2016 09:47 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/08/2016 9:47
01/08/2016 09:50 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/08/2016 9:50
01/08/2016 10:14 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/08/2016 10:14
01/08/2016 10:15 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2016 10:15
01/08/2016 10:27 - MARCOS | ID_USUARIO = 10921 | DATA_LOGIN = 01/08/2016 10:27
01/08/2016 10:54 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/08/2016 10:54
01/08/2016 10:55 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/08/2016 10:55
01/08/2016 10:59 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2016 10:59
01/08/2016 11:02 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2016 11:02
01/08/2016 11:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/08/2016 11:13
01/08/2016 13:02 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2016 13:02
01/08/2016 13:16 - RONALDSIQUEIRA | ID_USUARIO = 11221 | DATA_LOGIN = 01/08/2016 13:16
01/08/2016 13:21 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2016 13:21
01/08/2016 13:34 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 01/08/2016 13:34
01/08/2016 13:34 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2016 13:34
01/08/2016 13:40 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2016 13:40
01/08/2016 13:56 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2016 13:56
01/08/2016 14:04 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/08/2016 14:04
01/08/2016 14:06 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2016 14:06
01/08/2016 14:07 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2016 14:07
01/08/2016 14:44 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 01/08/2016 14:44
01/08/2016 14:45 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2016 14:45
01/08/2016 14:46 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2016 14:46
01/08/2016 14:46 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/08/2016 14:46
01/08/2016 14:57 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2016 14:57
01/08/2016 15:09 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/08/2016 15:09
01/08/2016 15:12 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/08/2016 15:12
01/08/2016 15:17 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2016 15:17
01/08/2016 15:23 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/08/2016 15:23
01/08/2016 16:00 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/08/2016 16:00
01/08/2016 16:35 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2016 16:35
01/08/2016 16:36 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2016 16:36
01/08/2016 17:20 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/08/2016 17:20
01/08/2016 17:33 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/08/2016 17:33
01/08/2016 17:44 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 01/08/2016 17:44
01/08/2016 21:20 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/08/2016 21:20
01/08/2016 21:48 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/08/2016 21:48
02/08/2016 00:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2016 0:58
02/08/2016 05:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2016 5:04
02/08/2016 07:10 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2016 7:10
02/08/2016 07:13 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/08/2016 7:13
02/08/2016 07:18 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2016 7:18
02/08/2016 07:19 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2016 7:19
02/08/2016 07:20 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2016 7:20
02/08/2016 07:43 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/08/2016 7:43
02/08/2016 08:02 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2016 8:02
02/08/2016 08:05 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/08/2016 8:05
02/08/2016 08:19 - MICHELSANTOS | ID_USUARIO = 11324 | DATA_LOGIN = 02/08/2016 8:19
02/08/2016 08:20 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2016 8:20
02/08/2016 08:21 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2016 8:21
02/08/2016 08:27 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2016 8:27
02/08/2016 08:36 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/08/2016 8:36
02/08/2016 08:37 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 02/08/2016 8:37
02/08/2016 08:37 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/08/2016 8:37
02/08/2016 08:43 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 02/08/2016 8:43
02/08/2016 08:50 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/08/2016 8:50
02/08/2016 08:56 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/08/2016 8:56
02/08/2016 08:56 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2016 8:56
02/08/2016 08:57 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2016 8:57
02/08/2016 09:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2016 9:01
02/08/2016 09:22 - SANTANA | ID_USUARIO = 10904 | DATA_LOGIN = 02/08/2016 9:22
02/08/2016 09:25 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2016 9:25
02/08/2016 09:32 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/08/2016 9:32
02/08/2016 09:34 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2016 9:34
02/08/2016 09:35 - DORACI | ID_USUARIO = 10886 | DATA_LOGIN = 02/08/2016 9:35
02/08/2016 09:50 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/08/2016 9:50
02/08/2016 09:51 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/08/2016 9:51
02/08/2016 09:59 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2016 9:59
02/08/2016 10:00 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/08/2016 10:00
02/08/2016 10:04 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/08/2016 10:04
02/08/2016 10:24 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2016 10:24
02/08/2016 10:28 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2016 10:28
02/08/2016 10:34 - GISELERATEIRO | ID_USUARIO = 11143 | DATA_LOGIN = 02/08/2016 10:34
02/08/2016 10:46 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 02/08/2016 10:46
02/08/2016 10:48 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 02/08/2016 10:48
02/08/2016 10:49 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/08/2016 10:49
02/08/2016 10:55 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/08/2016 10:55
02/08/2016 11:01 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/08/2016 11:01
02/08/2016 11:14 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2016 11:14
02/08/2016 11:15 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2016 11:15
02/08/2016 11:19 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 02/08/2016 11:19
02/08/2016 11:32 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/08/2016 11:32
02/08/2016 11:35 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 02/08/2016 11:35
02/08/2016 11:39 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2016 11:39
02/08/2016 12:05 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/08/2016 12:05
02/08/2016 13:06 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/08/2016 13:06
02/08/2016 13:18 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/08/2016 13:18
02/08/2016 13:32 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 02/08/2016 13:32
02/08/2016 13:33 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2016 13:33
02/08/2016 13:37 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/08/2016 13:37
02/08/2016 13:39 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 02/08/2016 13:39
02/08/2016 13:42 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 02/08/2016 13:42
02/08/2016 13:44 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 02/08/2016 13:44
02/08/2016 13:46 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/08/2016 13:46
02/08/2016 13:47 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 02/08/2016 13:47
