01/12/2016 07:08 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2016 7:08
01/12/2016 07:09 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2016 7:09
01/12/2016 07:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/12/2016 7:13
01/12/2016 07:15 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 01/12/2016 7:15
01/12/2016 07:16 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/12/2016 7:16
01/12/2016 07:32 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/12/2016 7:32
01/12/2016 07:38 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2016 7:38
01/12/2016 07:43 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/12/2016 7:43
01/12/2016 07:43 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/12/2016 7:43
01/12/2016 07:47 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/12/2016 7:47
01/12/2016 07:47 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/12/2016 7:47
01/12/2016 07:48 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/12/2016 7:48
01/12/2016 07:50 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/12/2016 7:50
01/12/2016 07:59 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 01/12/2016 7:59
01/12/2016 08:04 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/12/2016 8:04
01/12/2016 08:11 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2016 8:11
01/12/2016 08:14 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2016 8:14
01/12/2016 08:18 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2016 8:18
01/12/2016 08:19 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/12/2016 8:19
01/12/2016 08:20 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/12/2016 8:20
01/12/2016 08:23 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/12/2016 8:23
01/12/2016 08:23 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2016 8:23
01/12/2016 08:30 - LARISSALIMA | ID_USUARIO = 11534 | DATA_LOGIN = 01/12/2016 8:30
01/12/2016 08:39 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/12/2016 8:39
