01/03/2017 07:04 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2017 7:04
01/03/2017 07:04 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/03/2017 7:04
01/03/2017 07:08 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 01/03/2017 7:08
01/03/2017 07:11 - ANGELO | ID_USUARIO = 10969 | DATA_LOGIN = 01/03/2017 7:11
01/03/2017 07:13 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2017 7:13
01/03/2017 07:16 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2017 7:16
01/03/2017 07:19 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2017 7:19
01/03/2017 07:23 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/03/2017 7:23
01/03/2017 07:57 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 01/03/2017 7:57
01/03/2017 07:58 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2017 7:58
01/03/2017 08:02 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/03/2017 8:02
01/03/2017 08:02 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/03/2017 8:02
01/03/2017 08:02 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/03/2017 8:02
01/03/2017 08:16 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 01/03/2017 8:16
01/03/2017 08:26 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/03/2017 8:26
01/03/2017 08:48 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 01/03/2017 8:48
01/03/2017 08:51 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/03/2017 8:51
01/03/2017 08:54 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/03/2017 8:54
01/03/2017 08:55 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/03/2017 8:55
01/03/2017 09:28 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2017 9:28
01/03/2017 09:31 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2017 9:31
01/03/2017 09:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 9:34
01/03/2017 09:37 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/03/2017 9:37
01/03/2017 09:39 - JAQUELINEFERREIRA | ID_USUARIO = 6902 | DATA_LOGIN = 01/03/2017 9:39
01/03/2017 09:48 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 01/03/2017 9:48
01/03/2017 09:53 - ROBSONMANFRIM | ID_USUARIO = 11234 | DATA_LOGIN = 01/03/2017 9:53
01/03/2017 10:00 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/03/2017 10:00
01/03/2017 10:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 10:00
01/03/2017 10:10 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/03/2017 10:10
01/03/2017 10:16 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2017 10:16
01/03/2017 10:23 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/03/2017 10:23
01/03/2017 10:24 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2017 10:24
01/03/2017 10:26 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2017 10:26
01/03/2017 10:29 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2017 10:29
01/03/2017 10:43 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/03/2017 10:43
01/03/2017 10:51 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/03/2017 10:51
01/03/2017 11:08 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2017 11:08
01/03/2017 11:12 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2017 11:12
01/03/2017 11:15 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/03/2017 11:15
01/03/2017 11:25 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 01/03/2017 11:25
01/03/2017 11:30 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/03/2017 11:30
01/03/2017 11:41 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/03/2017 11:41
01/03/2017 12:00 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/03/2017 12:00
01/03/2017 12:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 12:25
01/03/2017 12:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 12:52
01/03/2017 12:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 12:55
01/03/2017 12:59 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2017 12:59
01/03/2017 13:01 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2017 13:01
01/03/2017 13:02 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/03/2017 13:02
