01/08/2017 01:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/08/2017 1:04
01/08/2017 07:05 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2017 7:05
01/08/2017 07:05 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/08/2017 7:05
01/08/2017 07:06 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/08/2017 7:06
01/08/2017 07:17 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2017 7:17
01/08/2017 07:20 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2017 7:20
01/08/2017 07:25 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2017 7:25
01/08/2017 07:50 - CHRISTIANO | ID_USUARIO = 11570 | DATA_LOGIN = 01/08/2017 7:50
01/08/2017 07:50 - FRANCISCO | ID_USUARIO = 10966 | DATA_LOGIN = 01/08/2017 7:50
01/08/2017 08:06 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2017 8:06
01/08/2017 08:14 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 01/08/2017 8:14
01/08/2017 08:17 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/08/2017 8:17
01/08/2017 08:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/08/2017 8:23
01/08/2017 08:24 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/08/2017 8:24
01/08/2017 08:25 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2017 8:25
01/08/2017 08:35 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 01/08/2017 8:35
01/08/2017 08:46 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2017 8:46
01/08/2017 08:48 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2017 8:48
01/08/2017 08:54 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/08/2017 8:54
