01/12/2017 06:58 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 01/12/2017 6:58
01/12/2017 07:13 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/12/2017 7:13
01/12/2017 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/12/2017 7:17
01/12/2017 07:22 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/12/2017 7:22
01/12/2017 07:23 - TALITAFURLAN | ID_USUARIO = 11308 | DATA_LOGIN = 01/12/2017 7:23
01/12/2017 07:23 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 01/12/2017 7:23
01/12/2017 07:24 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 7:24
01/12/2017 07:25 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/12/2017 7:25
01/12/2017 07:26 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2017 7:26
01/12/2017 07:27 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 01/12/2017 7:27
01/12/2017 07:28 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 7:28
01/12/2017 07:31 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2017 7:31
01/12/2017 07:34 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/12/2017 7:34
01/12/2017 07:35 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2017 7:35
01/12/2017 07:39 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/12/2017 7:39
01/12/2017 07:52 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/12/2017 7:52
01/12/2017 07:53 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2017 7:53
01/12/2017 07:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2017 7:57
01/12/2017 08:04 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2017 8:04
01/12/2017 08:07 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2017 8:07
01/12/2017 08:09 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 01/12/2017 8:09
01/12/2017 08:24 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/12/2017 8:24
01/12/2017 08:32 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/12/2017 8:32
01/12/2017 08:38 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/12/2017 8:38
01/12/2017 08:38 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/12/2017 8:38
01/12/2017 08:49 - ADRIANAP | ID_USUARIO = 11103 | DATA_LOGIN = 01/12/2017 8:49
01/12/2017 09:01 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2017 9:01
01/12/2017 09:06 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 9:06
01/12/2017 09:09 - ALINEFERREIRA | ID_USUARIO = 11212 | DATA_LOGIN = 01/12/2017 9:09
01/12/2017 09:19 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2017 9:19
01/12/2017 09:21 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 9:21
01/12/2017 09:23 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/12/2017 9:23
01/12/2017 09:30 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 01/12/2017 9:30
01/12/2017 09:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 9:31
01/12/2017 09:43 - EMERSONBAZONA | ID_USUARIO = 726 | DATA_LOGIN = 01/12/2017 9:43
01/12/2017 09:57 - GUSTAVOGIRO | ID_USUARIO = 6963 | DATA_LOGIN = 01/12/2017 9:57
01/12/2017 10:01 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2017 10:01
01/12/2017 10:02 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 10:02
01/12/2017 10:03 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 10:03
01/12/2017 10:05 - EMERSONBAZONA | ID_USUARIO = 726 | DATA_LOGIN = 01/12/2017 10:05
01/12/2017 10:09 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2017 10:09
01/12/2017 10:25 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/12/2017 10:25
01/12/2017 10:26 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/12/2017 10:26
01/12/2017 10:34 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 01/12/2017 10:34
01/12/2017 10:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/12/2017 10:34
01/12/2017 10:42 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/12/2017 10:42
01/12/2017 10:52 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 10:52
01/12/2017 10:55 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/12/2017 10:55
01/12/2017 10:59 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/12/2017 10:59
01/12/2017 11:04 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/12/2017 11:04
01/12/2017 11:12 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/12/2017 11:12
01/12/2017 11:31 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/12/2017 11:31
01/12/2017 11:46 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/12/2017 11:46
01/12/2017 11:55 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/12/2017 11:55
01/12/2017 11:57 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/12/2017 11:57
01/12/2017 11:59 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/12/2017 11:59
01/12/2017 12:01 - GUSTAVOMELGES | ID_USUARIO = 6955 | DATA_LOGIN = 01/12/2017 12:01
01/12/2017 12:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/12/2017 12:12
01/12/2017 12:12 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/12/2017 12:12
01/12/2017 12:14 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/12/2017 12:14
01/12/2017 12:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/12/2017 12:15
01/12/2017 12:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/12/2017 12:15
01/12/2017 12:35 - LUISMOREIRA | ID_USUARIO = 11281 | DATA_LOGIN = 01/12/2017 12:35
01/12/2017 13:19 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/12/2017 13:19
01/12/2017 13:23 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/12/2017 13:23
01/12/2017 13:26 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2017 13:26
01/12/2017 13:30 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 01/12/2017 13:30
01/12/2017 13:30 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/12/2017 13:30
01/12/2017 13:36 - GUSTAVOMELGES | ID_USUARIO = 6955 | DATA_LOGIN = 01/12/2017 13:36
01/12/2017 13:41 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2017 13:41
01/12/2017 13:46 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 01/12/2017 13:46
01/12/2017 13:52 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/12/2017 13:52
01/12/2017 13:56 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/12/2017 13:56
01/12/2017 13:58 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/12/2017 13:58
01/12/2017 14:13 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/12/2017 14:13
01/12/2017 14:17 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/12/2017 14:17
01/12/2017 14:24 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 01/12/2017 14:24
01/12/2017 14:28 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/12/2017 14:28
01/12/2017 14:32 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/12/2017 14:32
01/12/2017 14:33 - JACKSON | ID_USUARIO = 10863 | DATA_LOGIN = 01/12/2017 14:33
01/12/2017 14:37 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/12/2017 14:37
01/12/2017 14:38 - VALDINEI | ID_USUARIO = 11172 | DATA_LOGIN = 01/12/2017 14:38
01/12/2017 14:56 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/12/2017 14:56
01/12/2017 15:07 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/12/2017 15:07
01/12/2017 15:18 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/12/2017 15:18
