01/02/2018 07:07 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 01/02/2018 7:07
01/02/2018 07:10 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2018 7:10
01/02/2018 07:13 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2018 7:13
01/02/2018 07:14 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/02/2018 7:14
01/02/2018 07:19 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/02/2018 7:19
01/02/2018 07:19 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/02/2018 7:19
01/02/2018 07:19 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/02/2018 7:19
01/02/2018 07:21 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/02/2018 7:21
01/02/2018 07:25 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/02/2018 7:25
01/02/2018 07:37 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/02/2018 7:37
01/02/2018 07:41 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 01/02/2018 7:41
01/02/2018 07:42 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/02/2018 7:42
01/02/2018 07:47 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/02/2018 7:47
01/02/2018 07:49 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2018 7:49
01/02/2018 07:50 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 01/02/2018 7:50
01/02/2018 07:57 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2018 7:57
01/02/2018 08:00 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2018 8:00
01/02/2018 08:00 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/02/2018 8:00
01/02/2018 08:01 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 01/02/2018 8:01
01/02/2018 08:09 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/02/2018 8:09
01/02/2018 08:10 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/02/2018 8:10
01/02/2018 08:13 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 01/02/2018 8:13
01/02/2018 08:23 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/02/2018 8:23
01/02/2018 08:23 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/02/2018 8:23
01/02/2018 08:24 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/02/2018 8:24
01/02/2018 08:29 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/02/2018 8:29
01/02/2018 08:35 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/02/2018 8:35
01/02/2018 08:38 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/02/2018 8:38
01/02/2018 08:46 - RODRIGO_POIT | ID_USUARIO = 11086 | DATA_LOGIN = 01/02/2018 8:46
01/02/2018 08:47 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2018 8:47
01/02/2018 08:56 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/02/2018 8:56
01/02/2018 08:59 - ACIR | ID_USUARIO = 10839 | DATA_LOGIN = 01/02/2018 8:59
01/02/2018 09:01 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/02/2018 9:01
01/02/2018 09:02 - SYLVIO | ID_USUARIO = 10914 | DATA_LOGIN = 01/02/2018 9:02
01/02/2018 09:10 - TOM | ID_USUARIO = 10831 | DATA_LOGIN = 01/02/2018 9:10
01/02/2018 09:13 - CRISTIANOALVES | ID_USUARIO = 11226 | DATA_LOGIN = 01/02/2018 9:13
01/02/2018 09:14 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/02/2018 9:14
01/02/2018 09:16 - MARCELOGODOI | ID_USUARIO = 11316 | DATA_LOGIN = 01/02/2018 9:16
01/02/2018 09:18 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/02/2018 9:18
01/02/2018 09:39 - CAIOAUGUSTO | ID_USUARIO = 11320 | DATA_LOGIN = 01/02/2018 9:39
01/02/2018 09:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/02/2018 9:51
01/02/2018 10:09 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 01/02/2018 10:09
01/02/2018 10:36 - ROBERTA | ID_USUARIO = 10935 | DATA_LOGIN = 01/02/2018 10:36
01/02/2018 10:49 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/02/2018 10:49
01/02/2018 11:01 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/02/2018 11:01
01/02/2018 11:02 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2018 11:02
01/02/2018 11:07 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/02/2018 11:07
01/02/2018 11:11 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/02/2018 11:11
01/02/2018 11:14 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/02/2018 11:14
01/02/2018 11:41 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/02/2018 11:41
01/02/2018 11:45 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 01/02/2018 11:45
