01/08/2018 07:04 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/08/2018 7:04
01/08/2018 07:11 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/08/2018 7:11
01/08/2018 07:14 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/08/2018 7:14
01/08/2018 07:28 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2018 7:28
01/08/2018 07:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2018 7:31
01/08/2018 07:31 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/08/2018 7:31
01/08/2018 07:43 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 7:43
01/08/2018 07:46 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2018 7:46
01/08/2018 08:17 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2018 8:17
01/08/2018 08:17 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/08/2018 8:17
01/08/2018 08:18 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2018 8:18
01/08/2018 08:22 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2018 8:22
01/08/2018 08:32 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2018 8:32
01/08/2018 08:34 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 01/08/2018 8:34
01/08/2018 08:38 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2018 8:38
01/08/2018 08:54 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/08/2018 8:54
01/08/2018 09:08 - BIRA | ID_USUARIO = 11029 | DATA_LOGIN = 01/08/2018 9:08
01/08/2018 09:36 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2018 9:36
01/08/2018 09:39 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2018 9:39
01/08/2018 10:05 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/08/2018 10:05
01/08/2018 10:08 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2018 10:08
01/08/2018 10:09 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 10:09
01/08/2018 10:29 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 10:29
01/08/2018 10:44 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2018 10:44
01/08/2018 10:48 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2018 10:48
01/08/2018 12:14 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2018 12:14
01/08/2018 13:18 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/08/2018 13:18
01/08/2018 13:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 13:21
01/08/2018 13:26 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/08/2018 13:26
01/08/2018 13:31 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/08/2018 13:31
01/08/2018 13:37 - FERNANDOPIRES | ID_USUARIO = 11220 | DATA_LOGIN = 01/08/2018 13:37
01/08/2018 13:48 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 13:48
01/08/2018 14:02 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/08/2018 14:02
01/08/2018 14:17 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 01/08/2018 14:17
01/08/2018 14:39 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 14:39
01/08/2018 14:40 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2018 14:40
01/08/2018 14:49 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/08/2018 14:49
01/08/2018 15:04 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2018 15:04
01/08/2018 15:24 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 15:24
01/08/2018 15:51 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/08/2018 15:51
01/08/2018 16:10 - TAMARAABONIZIO | ID_USUARIO = 461 | DATA_LOGIN = 01/08/2018 16:10
01/08/2018 16:12 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/08/2018 16:12
01/08/2018 16:26 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/08/2018 16:26
01/08/2018 16:26 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/08/2018 16:26
01/08/2018 16:26 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/08/2018 16:26
01/08/2018 16:33 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/08/2018 16:33
01/08/2018 17:38 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/08/2018 17:38
02/08/2018 07:02 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/08/2018 7:02
02/08/2018 07:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/08/2018 7:21
02/08/2018 07:25 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/08/2018 7:25
