01/09/2018 07:32 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 01/09/2018 7:32
01/09/2018 10:42 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/09/2018 10:42
02/09/2018 10:07 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/09/2018 10:07
02/09/2018 23:13 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/09/2018 23:13
03/09/2018 07:13 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/09/2018 7:13
03/09/2018 07:14 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 03/09/2018 7:14
03/09/2018 07:16 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/09/2018 7:16
03/09/2018 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/09/2018 7:17
03/09/2018 07:26 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/09/2018 7:26
03/09/2018 07:26 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/09/2018 7:26
03/09/2018 07:28 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/09/2018 7:28
03/09/2018 07:28 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/09/2018 7:28
03/09/2018 07:41 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 03/09/2018 7:41
03/09/2018 07:46 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 03/09/2018 7:46
03/09/2018 08:04 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/09/2018 8:04
03/09/2018 08:04 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/09/2018 8:04
03/09/2018 08:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/09/2018 8:06
03/09/2018 08:10 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/09/2018 8:10
03/09/2018 08:13 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/09/2018 8:13
03/09/2018 08:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/09/2018 8:15
03/09/2018 08:24 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/09/2018 8:24
03/09/2018 08:30 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/09/2018 8:30
03/09/2018 08:47 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 03/09/2018 8:47
03/09/2018 08:54 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 03/09/2018 8:54
03/09/2018 08:58 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/09/2018 8:58
03/09/2018 08:58 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/09/2018 8:58
