01/11/2018 08:05 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 8:05
01/11/2018 08:14 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 8:14
01/11/2018 08:20 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/11/2018 8:20
01/11/2018 08:21 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/11/2018 8:21
01/11/2018 08:27 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/11/2018 8:27
01/11/2018 08:40 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/11/2018 8:40
01/11/2018 08:40 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/11/2018 8:40
01/11/2018 08:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/11/2018 8:41
01/11/2018 08:50 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/11/2018 8:50
01/11/2018 08:58 - SIDINEI | ID_USUARIO = 10968 | DATA_LOGIN = 01/11/2018 8:58
01/11/2018 09:00 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/11/2018 9:00
01/11/2018 09:01 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/11/2018 9:01
01/11/2018 09:09 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/11/2018 9:09
01/11/2018 09:44 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/11/2018 9:44
01/11/2018 09:44 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/11/2018 9:44
01/11/2018 09:45 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 9:45
01/11/2018 09:47 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 9:47
01/11/2018 10:13 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/11/2018 10:13
01/11/2018 10:13 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/11/2018 10:13
01/11/2018 10:16 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/11/2018 10:16
01/11/2018 10:17 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/11/2018 10:17
01/11/2018 10:36 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 01/11/2018 10:36
01/11/2018 10:43 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 10:43
01/11/2018 10:47 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 01/11/2018 10:47
01/11/2018 10:52 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/11/2018 10:52
01/11/2018 10:55 - GUSTAVOGIRO | ID_USUARIO = 6963 | DATA_LOGIN = 01/11/2018 10:55
01/11/2018 11:03 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/11/2018 11:03
01/11/2018 11:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 11:16
01/11/2018 11:49 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/11/2018 11:49
01/11/2018 12:05 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 12:05
01/11/2018 12:08 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 12:08
01/11/2018 12:14 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/11/2018 12:14
01/11/2018 12:18 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 12:18
01/11/2018 13:11 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/11/2018 13:11
01/11/2018 13:11 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 01/11/2018 13:11
01/11/2018 13:33 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/11/2018 13:33
01/11/2018 14:05 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 14:05
01/11/2018 14:06 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 01/11/2018 14:06
01/11/2018 14:09 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/11/2018 14:09
01/11/2018 14:29 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/11/2018 14:29
01/11/2018 14:47 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 14:47
01/11/2018 14:57 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/11/2018 14:57
01/11/2018 15:01 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 01/11/2018 15:01
01/11/2018 15:10 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 15:10
01/11/2018 16:31 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 01/11/2018 16:31
01/11/2018 16:36 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 16:36
01/11/2018 16:46 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 16:46
01/11/2018 16:49 - MARCOSROGERIO | ID_USUARIO = 11304 | DATA_LOGIN = 01/11/2018 16:49
01/11/2018 17:02 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 01/11/2018 17:02
01/11/2018 17:14 - SERGIO_SOUZA | ID_USUARIO = 11007 | DATA_LOGIN = 01/11/2018 17:14
01/11/2018 17:15 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/11/2018 17:15
01/11/2018 17:30 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/11/2018 17:30
01/11/2018 17:40 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/11/2018 17:40
01/11/2018 17:41 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 01/11/2018 17:41
02/11/2018 08:38 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 02/11/2018 8:38
02/11/2018 08:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/11/2018 8:46
02/11/2018 09:57 - FABIOTOMASETTO | ID_USUARIO = 11180 | DATA_LOGIN = 02/11/2018 9:57
02/11/2018 10:07 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 02/11/2018 10:07
02/11/2018 11:41 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 02/11/2018 11:41
02/11/2018 16:54 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 02/11/2018 16:54
03/11/2018 03:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 3:27
03/11/2018 06:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 6:50
03/11/2018 09:36 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/11/2018 9:36
03/11/2018 12:24 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/11/2018 12:24
03/11/2018 17:17 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 17:17
03/11/2018 18:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/11/2018 18:51
04/11/2018 03:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 04/11/2018 3:16
