01/03/2019 06:59 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 01/03/2019 6:59
01/03/2019 07:12 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2019 7:12
01/03/2019 07:13 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/03/2019 7:13
01/03/2019 07:22 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 01/03/2019 7:22
01/03/2019 07:32 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/03/2019 7:32
01/03/2019 07:32 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2019 7:32
01/03/2019 07:33 - SONARAPIASSI | ID_USUARIO = 494 | DATA_LOGIN = 01/03/2019 7:33
01/03/2019 07:39 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2019 7:39
01/03/2019 07:50 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 7:50
01/03/2019 07:52 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 01/03/2019 7:52
01/03/2019 08:03 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 01/03/2019 8:03
01/03/2019 08:17 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2019 8:17
01/03/2019 08:40 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/03/2019 8:40
01/03/2019 08:47 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 01/03/2019 8:47
01/03/2019 09:09 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2019 9:09
01/03/2019 09:18 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 9:18
01/03/2019 09:18 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 9:18
01/03/2019 09:18 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 9:18
01/03/2019 09:22 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 9:22
01/03/2019 09:26 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/03/2019 9:26
01/03/2019 09:27 - ADRIANA | ID_USUARIO = 10859 | DATA_LOGIN = 01/03/2019 9:27
01/03/2019 09:37 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 01/03/2019 9:37
01/03/2019 09:46 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2019 9:46
01/03/2019 09:55 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 01/03/2019 9:55
01/03/2019 09:58 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2019 9:58
01/03/2019 10:01 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 01/03/2019 10:01
01/03/2019 10:16 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 01/03/2019 10:16
01/03/2019 10:18 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 01/03/2019 10:18
01/03/2019 10:38 - CAMACETI | ID_USUARIO = 10981 | DATA_LOGIN = 01/03/2019 10:38
01/03/2019 10:43 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2019 10:43
01/03/2019 10:53 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 01/03/2019 10:53
01/03/2019 10:54 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2019 10:54
01/03/2019 11:15 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 01/03/2019 11:15
01/03/2019 11:59 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 01/03/2019 11:59
01/03/2019 12:02 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 12:02
01/03/2019 12:26 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 01/03/2019 12:26
01/03/2019 12:33 - VALDEREZ | ID_USUARIO = 10871 | DATA_LOGIN = 01/03/2019 12:33
01/03/2019 13:07 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 13:07
01/03/2019 13:07 - ALEXZG | ID_USUARIO = 10928 | DATA_LOGIN = 01/03/2019 13:07
01/03/2019 13:07 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/03/2019 13:07
01/03/2019 13:14 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2019 13:14
01/03/2019 13:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2019 13:15
01/03/2019 13:16 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2019 13:16
01/03/2019 13:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/03/2019 13:23
01/03/2019 13:24 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 01/03/2019 13:24
01/03/2019 13:37 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2019 13:37
01/03/2019 14:20 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 01/03/2019 14:20
01/03/2019 14:56 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 01/03/2019 14:56
01/03/2019 15:46 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/03/2019 15:46
01/03/2019 15:52 - ELTON | ID_USUARIO = 10942 | DATA_LOGIN = 01/03/2019 15:52
01/03/2019 16:33 - EMERSON_SANCHES | ID_USUARIO = 419 | DATA_LOGIN = 01/03/2019 16:33
01/03/2019 16:35 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 01/03/2019 16:35
01/03/2019 16:41 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 01/03/2019 16:41
01/03/2019 16:53 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 01/03/2019 16:53
