01/05/2019 04:25 - ROGERINHO | ID_USUARIO = 238 | DATA_LOGIN = 01/05/2019 4:25
01/05/2019 07:46 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/05/2019 7:46
01/05/2019 07:54 - MARAMIRANDA | ID_USUARIO = 625 | DATA_LOGIN = 01/05/2019 7:54
01/05/2019 17:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/05/2019 17:39
02/05/2019 07:07 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/05/2019 7:07
02/05/2019 07:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 7:15
02/05/2019 07:22 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2019 7:22
02/05/2019 07:23 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2019 7:23
02/05/2019 07:27 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/05/2019 7:27
02/05/2019 07:39 - GRAZIELA | ID_USUARIO = 10984 | DATA_LOGIN = 02/05/2019 7:39
02/05/2019 07:49 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 02/05/2019 7:49
02/05/2019 07:53 - ANAGOBATO | ID_USUARIO = 7049 | DATA_LOGIN = 02/05/2019 7:53
02/05/2019 07:59 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/05/2019 7:59
02/05/2019 08:06 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 8:06
02/05/2019 08:07 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 02/05/2019 8:07
02/05/2019 08:11 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/05/2019 8:11
02/05/2019 08:16 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 8:16
02/05/2019 08:36 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 02/05/2019 8:36
02/05/2019 08:40 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 8:40
02/05/2019 08:43 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 8:43
02/05/2019 08:56 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/05/2019 8:56
02/05/2019 09:02 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/05/2019 9:02
02/05/2019 09:03 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2019 9:03
02/05/2019 09:05 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2019 9:05
02/05/2019 09:09 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 9:09
02/05/2019 09:22 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 02/05/2019 9:22
02/05/2019 09:24 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 02/05/2019 9:24
02/05/2019 09:25 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 9:25
02/05/2019 09:42 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 9:42
02/05/2019 09:46 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 02/05/2019 9:46
02/05/2019 10:18 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 02/05/2019 10:18
02/05/2019 10:22 - BRUNOCAMAROTTI | ID_USUARIO = 11392 | DATA_LOGIN = 02/05/2019 10:22
02/05/2019 10:44 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 02/05/2019 10:44
02/05/2019 10:48 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 10:48
02/05/2019 10:49 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 10:49
02/05/2019 10:52 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 10:52
02/05/2019 11:00 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 11:00
02/05/2019 11:02 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 02/05/2019 11:02
02/05/2019 11:03 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2019 11:03
02/05/2019 11:03 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 11:03
02/05/2019 11:14 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/05/2019 11:14
02/05/2019 11:26 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 11:26
02/05/2019 11:33 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 02/05/2019 11:33
02/05/2019 11:41 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 11:41
02/05/2019 11:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2019 11:42
02/05/2019 11:45 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/05/2019 11:45
02/05/2019 11:52 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 02/05/2019 11:52
02/05/2019 12:28 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 12:28
02/05/2019 12:44 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/05/2019 12:44
02/05/2019 12:57 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2019 12:57
02/05/2019 13:10 - MICHELAAUGUSTO | ID_USUARIO = 6893 | DATA_LOGIN = 02/05/2019 13:10
02/05/2019 13:10 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/05/2019 13:10
02/05/2019 13:14 - TADEUMACHADO | ID_USUARIO = 11594 | DATA_LOGIN = 02/05/2019 13:14
02/05/2019 13:38 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 02/05/2019 13:38
02/05/2019 14:21 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 02/05/2019 14:21
02/05/2019 14:22 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:22
02/05/2019 14:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:23
02/05/2019 14:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:25
02/05/2019 14:29 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 14:29
02/05/2019 14:34 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:34
02/05/2019 14:35 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:35
02/05/2019 14:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:36
02/05/2019 14:36 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:36
02/05/2019 14:43 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:43
02/05/2019 14:51 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 14:51
02/05/2019 15:00 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/05/2019 15:00
02/05/2019 15:12 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 02/05/2019 15:12
02/05/2019 15:22 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 02/05/2019 15:22
02/05/2019 15:28 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 02/05/2019 15:28
02/05/2019 15:40 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 02/05/2019 15:40
02/05/2019 15:42 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 02/05/2019 15:42
02/05/2019 15:43 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 02/05/2019 15:43
02/05/2019 15:52 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/05/2019 15:52
02/05/2019 15:52 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/05/2019 15:52
02/05/2019 15:57 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 02/05/2019 15:57
02/05/2019 16:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 02/05/2019 16:17
02/05/2019 16:19 - STEFANIAESTEVO | ID_USUARIO = 11398 | DATA_LOGIN = 02/05/2019 16:19
02/05/2019 16:23 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 02/05/2019 16:23
02/05/2019 16:34 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 02/05/2019 16:34
02/05/2019 20:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 20:09
02/05/2019 20:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/05/2019 20:10
03/05/2019 06:01 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 6:01
03/05/2019 06:11 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 6:11
03/05/2019 06:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 6:21
03/05/2019 06:24 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 6:24
03/05/2019 07:02 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 7:02
03/05/2019 07:07 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/05/2019 7:07
03/05/2019 07:17 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2019 7:17
03/05/2019 07:17 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/05/2019 7:17
03/05/2019 07:31 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2019 7:31
03/05/2019 07:32 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/05/2019 7:32
03/05/2019 07:56 - KLEBER | ID_USUARIO = 10906 | DATA_LOGIN = 03/05/2019 7:56
03/05/2019 07:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 7:56
03/05/2019 07:56 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 7:56
03/05/2019 07:57 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 7:57
03/05/2019 08:06 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/05/2019 8:06
03/05/2019 08:09 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 8:09
03/05/2019 08:10 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/05/2019 8:10
03/05/2019 08:13 - ZEZE | ID_USUARIO = 10931 | DATA_LOGIN = 03/05/2019 8:13
03/05/2019 08:18 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/05/2019 8:18
03/05/2019 08:25 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/05/2019 8:25
03/05/2019 08:27 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/05/2019 8:27
03/05/2019 08:31 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/05/2019 8:31
03/05/2019 08:37 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 8:37
03/05/2019 08:38 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2019 8:38
03/05/2019 08:41 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/05/2019 8:41
03/05/2019 08:44 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/05/2019 8:44
03/05/2019 09:13 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/05/2019 9:13
03/05/2019 09:26 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/05/2019 9:26
03/05/2019 09:28 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/05/2019 9:28
03/05/2019 09:32 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 9:32
03/05/2019 09:43 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/05/2019 9:43
03/05/2019 09:48 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 9:48
03/05/2019 09:58 - REGI | ID_USUARIO = 10864 | DATA_LOGIN = 03/05/2019 9:58
03/05/2019 10:37 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/05/2019 10:37
03/05/2019 10:45 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/05/2019 10:45
03/05/2019 12:01 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/05/2019 12:01
03/05/2019 12:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/05/2019 12:25
03/05/2019 12:56 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2019 12:56
03/05/2019 13:00 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/05/2019 13:00
03/05/2019 13:01 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/05/2019 13:01
03/05/2019 13:02 - FELINHO | ID_USUARIO = 10901 | DATA_LOGIN = 03/05/2019 13:02
03/05/2019 13:03 - PARDAL | ID_USUARIO = 10903 | DATA_LOGIN = 03/05/2019 13:03
03/05/2019 13:05 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/05/2019 13:05
03/05/2019 13:06 - FELINHO | ID_USUARIO = 10901 | DATA_LOGIN = 03/05/2019 13:06
03/05/2019 13:11 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 03/05/2019 13:11
03/05/2019 13:13 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/05/2019 13:13
03/05/2019 13:41 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/05/2019 13:41
03/05/2019 13:41 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/05/2019 13:41
03/05/2019 13:50 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/05/2019 13:50
03/05/2019 13:51 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/05/2019 13:51
03/05/2019 14:01 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/05/2019 14:01
03/05/2019 14:03 - AZEVEDO | ID_USUARIO = 10858 | DATA_LOGIN = 03/05/2019 14:03
03/05/2019 14:03 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 03/05/2019 14:03
03/05/2019 14:21 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/05/2019 14:21
