01/06/2019 06:16 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/06/2019 6:16
01/06/2019 07:39 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/06/2019 7:39
01/06/2019 08:55 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/06/2019 8:55
01/06/2019 08:58 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/06/2019 8:58
01/06/2019 13:54 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/06/2019 13:54
01/06/2019 14:44 - JT | ID_USUARIO = 10823 | DATA_LOGIN = 01/06/2019 14:44
01/06/2019 16:25 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 01/06/2019 16:25
01/06/2019 19:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 01/06/2019 19:21
02/06/2019 07:50 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 02/06/2019 7:50
02/06/2019 08:16 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 02/06/2019 8:16
03/06/2019 07:13 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/06/2019 7:13
03/06/2019 07:18 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/06/2019 7:18
03/06/2019 07:18 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 7:18
03/06/2019 07:23 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 7:23
03/06/2019 07:25 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 7:25
03/06/2019 07:36 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/06/2019 7:36
03/06/2019 07:37 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/06/2019 7:37
03/06/2019 07:40 - ELISSANDRA | ID_USUARIO = 10851 | DATA_LOGIN = 03/06/2019 7:40
03/06/2019 07:45 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/06/2019 7:45
03/06/2019 07:48 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/06/2019 7:48
03/06/2019 07:53 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 03/06/2019 7:53
03/06/2019 08:05 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 03/06/2019 8:05
03/06/2019 08:15 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 8:15
03/06/2019 08:17 - ERIC | ID_USUARIO = 11080 | DATA_LOGIN = 03/06/2019 8:17
03/06/2019 08:21 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 8:21
03/06/2019 08:22 - AMANDAZERBINATTI | ID_USUARIO = 11249 | DATA_LOGIN = 03/06/2019 8:22
03/06/2019 08:23 - TATIANEPASSADOR | ID_USUARIO = 11350 | DATA_LOGIN = 03/06/2019 8:23
03/06/2019 08:24 - MARAMIRANDA | ID_USUARIO = 625 | DATA_LOGIN = 03/06/2019 8:24
03/06/2019 08:27 - LUIDE | ID_USUARIO = 10836 | DATA_LOGIN = 03/06/2019 8:27
03/06/2019 08:27 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 8:27
03/06/2019 08:29 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/06/2019 8:29
03/06/2019 08:31 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 8:31
03/06/2019 08:33 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/06/2019 8:33
03/06/2019 08:42 - CAMARA | ID_USUARIO = 10841 | DATA_LOGIN = 03/06/2019 8:42
03/06/2019 08:56 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/06/2019 8:56
03/06/2019 08:58 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 03/06/2019 8:58
03/06/2019 09:11 - ALEXANDRE | ID_USUARIO = 10837 | DATA_LOGIN = 03/06/2019 9:11
03/06/2019 09:16 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/06/2019 9:16
03/06/2019 09:17 - VINICIUSSANTOS | ID_USUARIO = 7044 | DATA_LOGIN = 03/06/2019 9:17
03/06/2019 09:19 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 9:19
03/06/2019 09:23 - HEBERTLUCIO | ID_USUARIO = 11635 | DATA_LOGIN = 03/06/2019 9:23
03/06/2019 09:24 - JENS | ID_USUARIO = 10895 | DATA_LOGIN = 03/06/2019 9:24
03/06/2019 09:33 - NORIVAL | ID_USUARIO = 10955 | DATA_LOGIN = 03/06/2019 9:33
03/06/2019 09:33 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/06/2019 9:33
03/06/2019 09:43 - GUSTAVOGIRO | ID_USUARIO = 6963 | DATA_LOGIN = 03/06/2019 9:43
03/06/2019 09:50 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 03/06/2019 9:50
03/06/2019 09:53 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/06/2019 9:53
03/06/2019 10:00 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/06/2019 10:00
03/06/2019 10:10 - ROSE | ID_USUARIO = 10872 | DATA_LOGIN = 03/06/2019 10:10
03/06/2019 10:11 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 10:11
03/06/2019 10:33 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/06/2019 10:33
03/06/2019 10:46 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/06/2019 10:46
03/06/2019 10:57 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 10:57
03/06/2019 11:05 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/06/2019 11:05
03/06/2019 11:17 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/06/2019 11:17
03/06/2019 11:50 - LUZMARINA | ID_USUARIO = 10900 | DATA_LOGIN = 03/06/2019 11:50
03/06/2019 12:40 - AREIAS | ID_USUARIO = 10997 | DATA_LOGIN = 03/06/2019 12:40
03/06/2019 12:40 - MATHEUSRODRIGUES | ID_USUARIO = 11533 | DATA_LOGIN = 03/06/2019 12:40
03/06/2019 12:57 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/06/2019 12:57
03/06/2019 13:01 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 13:01
03/06/2019 13:20 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 13:20
03/06/2019 13:58 - RENATO_AZ | ID_USUARIO = 10861 | DATA_LOGIN = 03/06/2019 13:58
03/06/2019 13:59 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 13:59
03/06/2019 13:59 - MARTA | ID_USUARIO = 10847 | DATA_LOGIN = 03/06/2019 13:59
03/06/2019 14:11 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/06/2019 14:11
03/06/2019 14:21 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 14:21
03/06/2019 14:34 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/06/2019 14:34
03/06/2019 14:41 - RONALDOGOMES | ID_USUARIO = 10971 | DATA_LOGIN = 03/06/2019 14:41
03/06/2019 14:52 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 14:52
03/06/2019 15:06 - FABRICIOTOMASETTO | ID_USUARIO = 6954 | DATA_LOGIN = 03/06/2019 15:06
03/06/2019 15:06 - STEFANIMAIRA | ID_USUARIO = 657 | DATA_LOGIN = 03/06/2019 15:06
03/06/2019 15:07 - DOUGLAS | ID_USUARIO = 11530 | DATA_LOGIN = 03/06/2019 15:07
03/06/2019 15:19 - SANDRA | ID_USUARIO = 10833 | DATA_LOGIN = 03/06/2019 15:19
03/06/2019 15:30 - OTAVIOGIRO | ID_USUARIO = 526 | DATA_LOGIN = 03/06/2019 15:30
03/06/2019 15:53 - RICARDOF | ID_USUARIO = 11084 | DATA_LOGIN = 03/06/2019 15:53
03/06/2019 16:02 - STELA | ID_USUARIO = 10867 | DATA_LOGIN = 03/06/2019 16:02
03/06/2019 16:07 - DONIZETE | ID_USUARIO = 10980 | DATA_LOGIN = 03/06/2019 16:07
03/06/2019 16:15 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 16:15
03/06/2019 16:29 - MARCIO | ID_USUARIO = 10850 | DATA_LOGIN = 03/06/2019 16:29
03/06/2019 17:48 - MARCIANO | ID_USUARIO = 10973 | DATA_LOGIN = 03/06/2019 17:48
03/06/2019 18:08 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 18:08
03/06/2019 20:18 - ROBERTO | ID_USUARIO = 10845 | DATA_LOGIN = 03/06/2019 20:18
03/06/2019 23:10 - PORTARIA | ID_USUARIO = 11207 | DATA_LOGIN = 03/06/2019 23:10
