01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:27 - HEITOR | USUARIOS_ID = 10935 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 27 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
01/06/2015 13:29 - HEITOR | USUARIOS_ID = 11327 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
17/06/2015 14:13 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
17/06/2015 14:13 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
17/06/2015 14:13 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
17/06/2015 14:13 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 10942 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 10942 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 10942 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 10942 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 11053 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 11053 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 11053 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 10:00 - HEITOR | USUARIOS_ID = 11053 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 14:55 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 14:55 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 14:55 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 23 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
19/06/2015 14:55 - HEITOR | USUARIOS_ID = 11296 | MENU_ID = 28 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
