11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 1 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 2 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 3 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 8 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 101 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 13 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 19 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 20 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 4 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 7 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 12 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 15 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
11/08/2016 08:49 - ITDESK | USUARIOS_ID = 222 | MENU_ID = 16 | VISUALIZAR = t | INSERIR = t | ALTERAR = t | EXCLUIR = t
