03/08/2015 10:26 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 999999999.99
03/08/2015 10:26 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
03/08/2015 10:26 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
03/08/2015 10:27 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
03/08/2015 10:27 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.01 | VALOR_FINAL = 0.01
03/08/2015 10:27 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 999999999.99
03/08/2015 10:27 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
03/08/2015 10:30 - HEITOR | ID = 11530 | LOGIN = DOUGLAS | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = Selecione um usuário... | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
12/08/2015 11:27 - HEITOR | ID = 10847 | LOGIN = MARTA | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 10906 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
12/08/2015 11:28 - HEITOR | ID = 10871 | LOGIN = VALDEREZ | TIPO = 1 | APROVADOR = f | VISUALIZA_CI = f | PRE_APROVADOR = 10906 | VALOR_INICIAL = 0.00 | VALOR_FINAL = 0.00
12/08/2015 11:28 - HEITOR | ID = 10906 | LOGIN = KLEBER | TIPO = 1 | APROVADOR = t | VISUALIZA_CI = f | PRE_APROVADOR = 10931 | VALOR_INICIAL = -20000.00 | VALOR_FINAL = 20000.00
