02/03/2015 14:34 - SUZANA | NOME = SUZANA | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.166 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = ERRO_EMAIL_CI
02/03/2015 16:11 - CARACIOLO | NOME = CARACIOLO | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.114 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
02/03/2015 16:11 - CARACIOLO | NOME = CARACIOLO | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.114 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
02/03/2015 17:40 - FERNANDO | NOME = FERNANDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
02/03/2015 17:41 - FERNANDO | NOME = FERNANDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
02/03/2015 17:41 - FERNANDO | NOME = FERNANDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
02/03/2015 17:41 - FERNANDO | NOME = FERNANDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
03/03/2015 10:59 - EDUARDO | NOME = EDUARDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
03/03/2015 11:00 - EDUARDO | NOME = EDUARDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
03/03/2015 11:00 - EDUARDO | NOME = EDUARDO | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
12/03/2015 14:34 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ACYRNETO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11327'
27/03/2015 10:33 - ROBERTO | NOME = ROBERTO | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.0.249 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = ERRO_EMAIL_CI
27/03/2015 10:33 - ROBERTO | NOME = ROBERTO | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.0.249 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTEwMDA= | MENSAGEM = CI Já avaliada pelo usuário ROBERTO
