03/08/2015 10:26 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '999999999.99' WHERE ID = '11530'
03/08/2015 10:26 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11530'
03/08/2015 10:26 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11530'
03/08/2015 10:27 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11530'
03/08/2015 10:27 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.01',VALOR_FINAL = '0.01' WHERE ID = '11530'
03/08/2015 10:27 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '999999999.99' WHERE ID = '11530'
03/08/2015 10:27 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11530'
03/08/2015 10:30 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'DOUGLAS',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11530'
16/08/2015 13:13 - HEITOR | NOME = HEITOR | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'KLEBER',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '10906'
16/08/2015 13:13 - HEITOR | NOME = HEITOR | REMOTE_AGENTE =  | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'KLEBER',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '10906'
16/08/2015 18:12 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'KLEBER',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '10906'
