10/12/2015 10:58 - HEITOR | NOME = HEITOR | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.2.157 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'GREICECRISTINA',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11479'
17/12/2015 07:58 - TIAGOLIMA | NOME = TIAGOLIMA | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.3.83 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = 12899-12899 ORA-12899: value too large for column "ITDESK"."CI_ANEXO"."NOME_ORIGINAL" (actual: 160, maximum: 120) INSERT INTO CI_ANEXO (CI,NOME_FISICO,NOME_ORIGINAL,TAMANHO,DESCRICAO,ID) VALUES ('14236','1450345707-47650100.msg',*'Ref    Confirmação de Realização do Curso - EFD - REINF (ESCRITUR
17/12/2015 07:58 - TIAGOLIMA | NOME = TIAGOLIMA | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.3.83 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = 12899-12899 ORA-12899: value too large for column "ITDESK"."CI_ANEXO"."NOME_ORIGINAL" (actual: 160, maximum: 120) INSERT INTO CI_ANEXO (CI,NOME_FISICO,NOME_ORIGINAL,TAMANHO,DESCRICAO,ID) VALUES ('14237','1450345707-47650100.msg',*'Ref    Confirmação de Realização do Curso - EFD - REINF (ESCRITUR
23/12/2015 10:12 - ROSEMEIRESGOTI | NOME = ROSEMEIRESGOTI | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.197 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
28/12/2015 11:27 - ALEXANDRE | NOME = ALEXANDRE | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.244 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'CARLOTRALLI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11233'
28/12/2015 11:27 - ALEXANDRE | NOME = ALEXANDRE | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.244 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'CARLOTRALLI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11233'
28/12/2015 11:55 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ITDESK',TIPO = '2',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-1000.00',VALOR_FINAL = '12121434.12' WHERE ID = '11342'
28/12/2015 11:56 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ITDESK',TIPO = '2',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-1000.00',VALOR_FINAL = '12121434.12' WHERE ID = '11342'
28/12/2015 11:56 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ITDESK',TIPO = '2',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-1000.00',VALOR_FINAL = '121214.34' WHERE ID = '11342'
28/12/2015 11:56 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ITDESK',TIPO = '2',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '121214.34' WHERE ID = '11342'
28/12/2015 11:57 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ITDESK',TIPO = '2',APROVADOR = 'f',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-1000.00',VALOR_FINAL = '12121434.12' WHERE ID = '11342'
