05/04/2016 07:15 - MARCOS | NOME = MARCOS | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.174 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
06/04/2016 15:17 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ROBERTA',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '10935'
11/04/2016 11:35 - LETICIA | NOME = LETICIA | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.183 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
13/04/2016 19:11 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'TADEUMACHADO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11594'
13/04/2016 19:12 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'TADEUMACHADO',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11594'
13/04/2016 19:12 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'TADEUMACHADO',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11594'
13/04/2016 19:12 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'TADEUMACHADO',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11594'
13/04/2016 19:13 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'TADEUMACHADO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11594'
19/04/2016 14:31 - STEFANIAESTEVO | NOME = STEFANIAESTEVO | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.154 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
19/04/2016 14:32 - STEFANIAESTEVO | NOME = STEFANIAESTEVO | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.154 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
19/04/2016 15:48 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'MARCELOGODOI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11316'
19/04/2016 16:03 - RODRIGO_POIT | NOME = RODRIGO_POIT | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.3.152 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
19/04/2016 16:03 - RODRIGO_POIT | NOME = RODRIGO_POIT | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.3.152 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
19/04/2016 16:09 - RODRIGO_POIT | NOME = RODRIGO_POIT | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.3.152 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
19/04/2016 16:14 - RODRIGO_POIT | NOME = RODRIGO_POIT | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.3.152 | REQUEST_URI = /org/admin/ci/cadastro | MENSAGEM = CRIAR_CI_SEM_APROVADOR
