04/07/2016 08:48 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'JOISYLOPES',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11616'
07/07/2016 17:40 - DOUGLAS | NOME = DOUGLAS | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.220 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTY1OTQ= | MENSAGEM = CI Já avaliada pelo usuário DOUGLAS
07/07/2016 17:41 - DOUGLAS | NOME = DOUGLAS | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.220 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTY1OTU= | MENSAGEM = CI Já avaliada pelo usuário DOUGLAS
11/07/2016 22:51 - DOUGLAS | NOME = DOUGLAS | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTY2MjQ= | MENSAGEM = CI Já avaliada pelo usuário DOUGLAS
13/07/2016 22:16 - DOUGLAS | NOME = DOUGLAS | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.1.3 | REQUEST_URI = /org/admin/ci/avaliarci/id/MTY2NDE= | MENSAGEM = CI Já avaliada pelo usuário DOUGLAS
20/07/2016 09:26 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11635'
20/07/2016 09:27 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:28 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:29 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11635'
20/07/2016 09:30 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:30 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:30 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11635'
20/07/2016 09:31 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:31 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:31 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
20/07/2016 09:33 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'HEBERTLUCIO',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '11635'
28/07/2016 09:39 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'MATHEUSRODRIGUES',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11533'
