11/08/2016 08:49 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 127.0.0.1 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'RONALDOGOMES',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '222'
11/08/2016 08:50 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 127.0.0.1 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'RONALDOGOMES',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '222'
16/08/2016 08:56 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'CLEBERRONDI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '746'
17/08/2016 17:55 - ITDESK | NOME = ITDESK | REMOTE_AGENTE = Firefox | REMOTE_ADDR = 127.0.0.1 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'ALEXANDRE',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 't',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '10837'
18/08/2016 09:44 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'CLEBERRONDI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '11620'
22/08/2016 09:25 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '6888'
22/08/2016 09:25 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '6888'
22/08/2016 09:26 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '6888'
22/08/2016 09:26 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '6888'
22/08/2016 09:26 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 'f',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '6888'
22/08/2016 09:27 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '0.00',VALOR_FINAL = '0.00' WHERE ID = '6888'
22/08/2016 09:27 - RONALDOGOMES | NOME = RONALDOGOMES | REMOTE_AGENTE = Chrome | REMOTE_ADDR = 192.168.0.108 | REQUEST_URI = /org/admin/permissoes/update | MENSAGEM = 1722-1722 ORA-01722: invalid number UPDATE USUARIOS SET LOGIN = 'AMADEUBOVI',TIPO = '1',APROVADOR = 't',VISUALIZA_CI = 'f',PRE_APROVADOR = *'Selecione um usuário...',VALOR_INICIAL = '-20000.00',VALOR_FINAL = '20000.00' WHERE ID = '6888'
