OWNER;TABLE_NAME;COLUMN_NAME;DATA_TYPE;DATA_LENGTH;DATA_PRECISION;NULLABLE
ITDESK;V_EMPRESA_COBRANCA_CW;CODIGO_EMPRESA;NUMBER;22;10;N
ITDESK;V_EMPRESA_COBRANCA_CW;NOME_EMPRESA;VARCHAR2;60;;N
ITDESK;V_EMPRESA_COBRANCA_CW;ENDERECO;VARCHAR2;60;;Y
ITDESK;V_EMPRESA_COBRANCA_CW;NRO;VARCHAR2;10;;Y
ITDESK;V_EMPRESA_COBRANCA_CW;CEP;VARCHAR2;9;;N
ITDESK;V_EMPRESA_COBRANCA_CW;CIDADE;VARCHAR2;25;;N
ITDESK;V_EMPRESA_COBRANCA_CW;ESTADO;VARCHAR2;2;;N
ITDESK;V_EMPRESA_COBRANCA_CW;BAIRRO;VARCHAR2;20;;N
ITDESK;V_EMPRESA_COBRANCA_CW;PAIS;VARCHAR2;30;;N
ITDESK;V_EMPRESA_COBRANCA_CW;FONE;VARCHAR2;20;;Y
ITDESK;V_EMPRESA_COBRANCA_CW;FAX;VARCHAR2;12;;Y
ITDESK;V_EMPRESA_COBRANCA_CW;CNPJ_CPF;VARCHAR2;4000;;Y
ITDESK;V_EMPRESA_COBRANCA_CW;INSCR_EST;VARCHAR2;15;;Y
ITDESK;V_EMPRESA_COBRANCA_CW;EMAIL;VARCHAR2;50;;Y
ITDESK;V_EMPRESA_CW;CODIGO_EMPRESA;NUMBER;22;10;N
ITDESK;V_EMPRESA_CW;NOME_EMPRESA;VARCHAR2;60;;N
ITDESK;V_EMPRESA_CW;ENDERECO;VARCHAR2;60;;Y
ITDESK;V_EMPRESA_CW;NRO;VARCHAR2;10;;Y
ITDESK;V_EMPRESA_CW;CEP;VARCHAR2;9;;N
ITDESK;V_EMPRESA_CW;CIDADE;VARCHAR2;25;;N
ITDESK;V_EMPRESA_CW;ESTADO;VARCHAR2;2;;N
ITDESK;V_EMPRESA_CW;BAIRRO;VARCHAR2;20;;N
ITDESK;V_EMPRESA_CW;PAIS;VARCHAR2;30;;N
ITDESK;V_EMPRESA_CW;FONE;VARCHAR2;20;;Y
ITDESK;V_EMPRESA_CW;FAX;VARCHAR2;12;;Y
ITDESK;V_EMPRESA_CW;CNPJ_CPF;VARCHAR2;4000;;Y
ITDESK;V_EMPRESA_CW;INSCR_EST;VARCHAR2;15;;Y
ITDESK;V_EMPRESA_CW;EMAIL;VARCHAR2;50;;Y
ITDESK;V_FORN_CW;CODIGO_FORNEC;NUMBER;22;10;N
ITDESK;V_FORN_CW;NOME_FORNEC;VARCHAR2;60;;N
